Year,Nominee,Running Mate,Electoral Vote
1984,Ronald Reagan Walter Mondale,George H. W. Bush Geraldine Ferraro,"[525, 13]"
1980,Ronald Reagan Jimmy Carter John B. Anderson,George H. W. Bush Walter Mondale Patrick Lucey,"[489, 49, 0]"
1988,George H. W. Bush Michael Dukakis,Dan Quayle Lloyd Bentsen,"[426, 111]"
2004,George W. Bush John Kerry,Dick Cheney John Edwards,"[286, 251]"
2000,George W. Bush Al Gore,Dick Cheney Joe Lieberman,"[271, 266]"
2008,Barack Obama John McCain,Joe Biden Sarah Palin,"[365, 173]"
2016,Donald Trump Hillary Clinton,Mike Pence Tim Kaine,"[304, 227]"
2012,Barack Obama Mitt Romney,Joe Biden Paul Ryan,"[332, 206]"
1996,Bill Clinton Bob Dole Ross Perot,Al Gore Jack Kemp Pat Choate,"[379, 159, 0]"
2020,Joe Biden Donald Trump,Kamala Harris Mike Pence,"[306, 232]"
1992,Bill Clinton George H. W. Bush Ross Perot,Al Gore Dan Quayle James Stockdale,"[370, 168, 0]"
